px_t,py_t,v_t,psi_t,omega_t,a_t,delta_t,px_t1,py_t1,v_t1,psi_t1,omega_t1
1.628521793353238,-1.6892980899091208,31.622776601683793,-6.668421052631588,-6.842105263157895,0.25790074501321797,0.0008688787843231663,1.6285204150403882,-1.689469463026617,31.622776601683793,-6.736842105263167,-6.842105263157895
1.6285204150403882,-1.689469463026617,31.622776601683793,-6.736842105263167,-6.842105263157895,0.2882420091324201,0.0009710997568900206,1.6285175576316873,-1.6896396903463777,31.622776601683793,-6.794736842105273,-5.7894736842105265
1.6285175576316873,-1.6896396903463777,31.622776601683793,-6.794736842105273,-5.7894736842105265,-0.2882420091324201,-0.0009710997568900206,1.6285134588487398,-1.6898083256286698,31.622776601683793,-6.852631578947378,-5.7894736842105265
1.6285134588487398,-1.6898083256286698,31.622776601683793,-6.852631578947378,-5.7894736842105265,-0.25790074501321797,-0.0008688787843231661,1.6285081324260118,-1.6899748037995215,31.622776601683793,-6.910526315789483,-5.7894736842105265
1.6285081324260118,-1.6899748037995215,31.622776601683793,-6.910526315789483,-5.7894736842105265,-0.2275594808940159,-0.000766657793598254,1.628501596211624,-1.6901385670131495,31.622776601683793,-6.968421052631588,-5.7894736842105265
1.628501596211624,-1.6901385670131495,31.622776601683793,-6.968421052631588,-5.7894736842105265,-0.19721821677481374,-0.0006644367868515208,1.6284938721075446,-1.6902990665212239,31.622776601683793,-7.026315789473694,-5.7894736842105265
1.6284938721075446,-1.6902990665212239,31.622776601683793,-7.026315789473694,-5.7894736842105265,-0.16687695265561164,-0.0005622157662192056,1.6284849859961996,-1.6904557645116496,31.622776601683793,-7.084210526315799,-5.7894736842105265
1.6284849859961996,-1.6904557645116496,31.622776601683793,-7.084210526315799,-5.7894736842105265,-0.13653568853640954,-0.00045999473383754854,1.6284749676537433,-1.6906081359107017,31.622776601683793,-7.142105263157904,-5.7894736842105265
1.6284749676537433,-1.6906081359107017,31.622776601683793,-7.142105263157904,-5.7894736842105265,-0.1061944244172074,-0.0003577736918427917,1.628463850650283,-1.6907556701424773,31.622776601683793,-7.200000000000009,-5.7894736842105265
1.628463850650283,-1.6907556701424773,31.622776601683793,-7.200000000000009,-5.7894736842105265,-0.07585316029800529,-0.00025555264237117815,1.6284516722373907,-1.6908978728397643,31.622776601683793,-7.257894736842115,-5.7894736842105265
1.6284516722373907,-1.6908978728397643,31.622776601683793,-7.257894736842115,-5.7894736842105265,-0.045511896178803184,-0.00015333158755895205,1.6284384732232775,-1.6910342675006007,31.622776601683793,-7.3157894736842195,-5.7894736842105265
